City,Date,PM2.5,PM10,NO2,CO,SO2,AQI
Mumbai,"Monday, January 16, 2017",,,,,,0
Mumbai,"Tuesday, January 17, 2017",,,,,,0
Mumbai,"Wednesday, January 18, 2017",,,,,,0
Mumbai,"Thursday, January 19, 2017",,,,,,0
Mumbai,"Friday, January 20, 2017",,,,,,0
Mumbai,"Saturday, January 21, 2017",,,,,,0
Mumbai,"Sunday, January 22, 2017",,,,,,0
Mumbai,"Monday, January 23, 2017",,,,,,0
Mumbai,"Tuesday, January 24, 2017",,,,,,0
Mumbai,"Wednesday, January 25, 2017",,,,,,0
Mumbai,"Thursday, January 26, 2017",,,,,,0
Mumbai,"Friday, January 27, 2017",,,,,,0
Mumbai,"Saturday, January 28, 2017",,,,,,0
Mumbai,"Sunday, January 29, 2017",,,,,,0
Mumbai,"Monday, January 30, 2017",,,,,,0
Mumbai,"Tuesday, January 31, 2017",,,,,,0
Mumbai,"Wednesday, February 1, 2017",,,,,,0
Mumbai,"Thursday, February 2, 2017",,,,,,0
Mumbai,"Friday, February 3, 2017",,,,,,0
Mumbai,"Saturday, February 4, 2017",,,,,,0
Mumbai,"Sunday, February 5, 2017",,,,,,0
Mumbai,"Monday, February 6, 2017",,,,,,0
Mumbai,"Tuesday, February 7, 2017",,,,,,0
Mumbai,"Wednesday, February 8, 2017",,,,,,0
Mumbai,"Thursday, February 9, 2017",,,,,,0
Mumbai,"Friday, February 10, 2017",,,,,,0
Mumbai,"Saturday, February 11, 2017",,,,,,0
Mumbai,"Sunday, February 12, 2017",,,,,,0
Mumbai,"Monday, February 13, 2017",,,,,,0
Mumbai,"Tuesday, February 14, 2017",,,,,,0
Mumbai,"Wednesday, February 15, 2017",,,,,,0
Mumbai,"Thursday, February 16, 2017",,,,,,0
Mumbai,"Friday, February 17, 2017",,,,,,0
Mumbai,"Saturday, February 18, 2017",,,,,,0
Mumbai,"Sunday, February 19, 2017",,,,,,0
Mumbai,"Monday, February 20, 2017",,,,,,0
Mumbai,"Tuesday, February 21, 2017",,,,,,0
Mumbai,"Wednesday, February 22, 2017",,,,,,0
Mumbai,"Thursday, February 23, 2017",,,,,,0
Mumbai,"Friday, February 24, 2017",,,,,,0
Mumbai,"Saturday, February 25, 2017",,,,,,0
Mumbai,"Sunday, February 26, 2017",,,,,,0
Mumbai,"Monday, February 27, 2017",,,,,,0
Mumbai,"Tuesday, February 28, 2017",,,,,,0
Mumbai,"Wednesday, March 1, 2017",,,,,,0
Mumbai,"Thursday, March 2, 2017",,,,,,0
Mumbai,"Friday, March 3, 2017",,,,,,0
Mumbai,"Saturday, March 4, 2017",,,,,,0
Mumbai,"Sunday, March 5, 2017",,,,,,0
Mumbai,"Monday, March 6, 2017",,,,,,0
Mumbai,"Tuesday, March 7, 2017",,,,,,0
Mumbai,"Wednesday, March 8, 2017",,,,,,0
Mumbai,"Thursday, March 9, 2017",,,,,,0
Mumbai,"Friday, March 10, 2017",,,,,,0
Mumbai,"Saturday, March 11, 2017",,,,,,0
Mumbai,"Sunday, March 12, 2017",,,,,,0
Mumbai,"Monday, March 13, 2017",,,,,,0
Mumbai,"Tuesday, March 14, 2017",,,,,,0
Mumbai,"Wednesday, March 15, 2017",,,,,,0
Mumbai,"Thursday, March 16, 2017",,,,,,0
Mumbai,"Friday, March 17, 2017",,,,,,0
Mumbai,"Saturday, March 18, 2017",,,,,,0
Mumbai,"Sunday, March 19, 2017",,,,,,0
Mumbai,"Monday, March 20, 2017",,,,,,0
Mumbai,"Tuesday, March 21, 2017",,,,,,0
Mumbai,"Wednesday, March 22, 2017",,,,,,0
Mumbai,"Thursday, March 23, 2017",,,,,,0
Mumbai,"Friday, March 24, 2017",,,,,,0
Mumbai,"Saturday, March 25, 2017",,,,,,0
Mumbai,"Sunday, March 26, 2017",,,,,,0
Mumbai,"Monday, March 27, 2017",,,,,,0
Mumbai,"Tuesday, March 28, 2017",,,,,,0
Mumbai,"Wednesday, March 29, 2017",,,,,,0
Mumbai,"Thursday, March 30, 2017",,,,,,0
Mumbai,"Friday, March 31, 2017",,,,,,0
Mumbai,"Saturday, April 1, 2017",,,,,,0
Mumbai,"Sunday, April 2, 2017",,,,,,0
Mumbai,"Monday, April 3, 2017",,,,,,0
Mumbai,"Tuesday, April 4, 2017",,,,,,0
Mumbai,"Wednesday, April 5, 2017",,,,,,0
Mumbai,"Thursday, April 6, 2017",,,,,,0
Mumbai,"Friday, April 7, 2017",,,,,,0
Mumbai,"Saturday, April 8, 2017",,,,,,0
Mumbai,"Sunday, April 9, 2017",,,,,,0
Mumbai,"Monday, April 10, 2017",,,,,,0
Mumbai,"Tuesday, April 11, 2017",,,,,,0
Mumbai,"Wednesday, April 12, 2017",,,,,,0
Mumbai,"Thursday, April 13, 2017",,,,,,0
Mumbai,"Friday, April 14, 2017",,,,,,0
Mumbai,"Saturday, April 15, 2017",,,,,,0
Mumbai,"Sunday, April 16, 2017",,,,,,0
Mumbai,"Monday, April 17, 2017",,,,,,0
Mumbai,"Tuesday, April 18, 2017",,,,,,0
Mumbai,"Wednesday, April 19, 2017",,,,,,0
Mumbai,"Thursday, April 20, 2017",,,,,,0
Mumbai,"Friday, April 21, 2017",,,,,,0
Mumbai,"Saturday, April 22, 2017",,,,,,0
Mumbai,"Sunday, April 23, 2017",,,,,,0
Mumbai,"Monday, April 24, 2017",,,,,,0
Mumbai,"Tuesday, April 25, 2017",,,,,,0
Mumbai,"Wednesday, April 26, 2017",,,,,,0
Mumbai,"Thursday, April 27, 2017",,,,,,0
Mumbai,"Friday, April 28, 2017",,,,,,0
Mumbai,"Saturday, April 29, 2017",,,,,,0
Mumbai,"Sunday, April 30, 2017",,,,,,0
Mumbai,"Monday, May 1, 2017",,,,,,0
Mumbai,"Tuesday, May 2, 2017",,,,,,0
Mumbai,"Wednesday, May 3, 2017",,,,,,0
Mumbai,"Thursday, May 4, 2017",,,,,,0
Mumbai,"Friday, May 5, 2017",,,,,,0
Mumbai,"Saturday, May 6, 2017",,,,,,0
Mumbai,"Sunday, May 7, 2017",,,,,,0
Mumbai,"Monday, May 8, 2017",,,,,,0
Mumbai,"Tuesday, May 9, 2017",,,,,,0
Mumbai,"Wednesday, May 10, 2017",,,,,,0
Mumbai,"Thursday, May 11, 2017",,,,,,0
Mumbai,"Friday, May 12, 2017",,,,,,0
Mumbai,"Saturday, May 13, 2017",,,,,,0
Mumbai,"Sunday, May 14, 2017",,,,,,0
Mumbai,"Monday, May 15, 2017",,,,,,0
Mumbai,"Tuesday, May 16, 2017",,,,,,0
Mumbai,"Wednesday, May 17, 2017",,,,,,0
Mumbai,"Thursday, May 18, 2017",,,,,,0
Mumbai,"Friday, May 19, 2017",,,,,,0
Mumbai,"Saturday, May 20, 2017",,,,,,0
Mumbai,"Sunday, May 21, 2017",,,,,,0
Mumbai,"Monday, May 22, 2017",,,,,,0
Mumbai,"Tuesday, May 23, 2017",,,,,,0
Mumbai,"Wednesday, May 24, 2017",,,,,,0
Mumbai,"Thursday, May 25, 2017",,,,,,0
Mumbai,"Friday, May 26, 2017",,,,,,0
Mumbai,"Saturday, May 27, 2017",,,,,,0
Mumbai,"Sunday, May 28, 2017",,,,,,0
Mumbai,"Monday, May 29, 2017",,,,,,0
Mumbai,"Tuesday, May 30, 2017",,,,,,0
Mumbai,"Wednesday, May 31, 2017",,,,,,0
Mumbai,"Thursday, June 1, 2017",,,,,,0
Mumbai,"Friday, June 2, 2017",,,,,,0
Mumbai,"Saturday, June 3, 2017",,,,,,0
Mumbai,"Sunday, June 4, 2017",,,,,,0
Mumbai,"Monday, June 5, 2017",,,,,,0
Mumbai,"Tuesday, June 6, 2017",,,,,,0
Mumbai,"Wednesday, June 7, 2017",,,,,,0
Mumbai,"Thursday, June 8, 2017",,,,,,0
Mumbai,"Friday, June 9, 2017",,,,,,0
Mumbai,"Saturday, June 10, 2017",,,,,,0
Mumbai,"Sunday, June 11, 2017",,,,,,0
Mumbai,"Monday, June 12, 2017",,,,,,0
Mumbai,"Tuesday, June 13, 2017",,,,,,0
Mumbai,"Wednesday, June 14, 2017",,,,,,0
Mumbai,"Thursday, June 15, 2017",,,,,,0
Mumbai,"Friday, June 16, 2017",,,,,,0
Mumbai,"Saturday, June 17, 2017",,,,,,0
Mumbai,"Sunday, June 18, 2017",,,,,,0
Mumbai,"Monday, June 19, 2017",,,,,,0
Mumbai,"Tuesday, June 20, 2017",,,,,,0
Mumbai,"Wednesday, June 21, 2017",,,,,,0
Mumbai,"Thursday, June 22, 2017",,,,,,0
Mumbai,"Friday, June 23, 2017",,,,,,0
Mumbai,"Saturday, June 24, 2017",,,,,,0
Mumbai,"Sunday, June 25, 2017",,,,,,0
Mumbai,"Monday, June 26, 2017",,,,,,0
Mumbai,"Tuesday, June 27, 2017",,,,,,0
Mumbai,"Wednesday, June 28, 2017",,,,,,0
Mumbai,"Thursday, June 29, 2017",,,,,,0
Mumbai,"Friday, June 30, 2017",,,,,,0
Mumbai,"Saturday, July 1, 2017",,,,,,0
Mumbai,"Sunday, July 2, 2017",,,,,,0
Mumbai,"Monday, July 3, 2017",,,,,,0
Mumbai,"Tuesday, July 4, 2017",,,,,,0
Mumbai,"Wednesday, July 5, 2017",,,,,,0
Mumbai,"Thursday, July 6, 2017",,,,,,0
Mumbai,"Friday, July 7, 2017",,,,,,0
Mumbai,"Saturday, July 8, 2017",,,,,,0
Mumbai,"Sunday, July 9, 2017",,,,,,0
Mumbai,"Monday, July 10, 2017",,,,,,0
Mumbai,"Tuesday, July 11, 2017",,,,,,0
Mumbai,"Wednesday, July 12, 2017",,,,,,0
Mumbai,"Thursday, July 13, 2017",,,,,,0
Mumbai,"Friday, July 14, 2017",,,,,,0
Mumbai,"Saturday, July 15, 2017",,,,,,0
Mumbai,"Sunday, July 16, 2017",,,,,,0
Mumbai,"Monday, July 17, 2017",,,,,,0
Mumbai,"Tuesday, July 18, 2017",,,,,,0
Mumbai,"Wednesday, July 19, 2017",,,,,,0
Mumbai,"Thursday, July 20, 2017",,,,,,0
Mumbai,"Friday, July 21, 2017",,,,,,0
Mumbai,"Saturday, July 22, 2017",,,,,,0
Mumbai,"Sunday, July 23, 2017",,,,,,0
Mumbai,"Monday, July 24, 2017",,,,,,0
Mumbai,"Tuesday, July 25, 2017",,,,,,0
Mumbai,"Wednesday, July 26, 2017",,,,,,0
Mumbai,"Thursday, July 27, 2017",,,,,,0
Mumbai,"Friday, July 28, 2017",,,,,,0
Mumbai,"Saturday, July 29, 2017",,,,,,0
Mumbai,"Sunday, July 30, 2017",,,,,,0
Mumbai,"Monday, July 31, 2017",,,,,,0
Mumbai,"Tuesday, August 1, 2017",,,,,,0
Mumbai,"Wednesday, August 2, 2017",,,,,,0
Mumbai,"Thursday, August 3, 2017",,,,,,0
Mumbai,"Friday, August 4, 2017",,,,,,0
Mumbai,"Saturday, August 5, 2017",,,,,,0
Mumbai,"Sunday, August 6, 2017",,,,,,0
Mumbai,"Monday, August 7, 2017",,,,,,0
Mumbai,"Tuesday, August 8, 2017",,,,,,0
Mumbai,"Wednesday, August 9, 2017",,,,,,0
Mumbai,"Thursday, August 10, 2017",,,,,,0
Mumbai,"Friday, August 11, 2017",,,,,,0
Mumbai,"Saturday, August 12, 2017",,,,,,0
Mumbai,"Sunday, August 13, 2017",,,,,,0
Mumbai,"Monday, August 14, 2017",,,,,,0
Mumbai,"Tuesday, August 15, 2017",,,,,,0
Mumbai,"Wednesday, August 16, 2017",,,,,,0
Mumbai,"Thursday, August 17, 2017",,,,,,0
Mumbai,"Friday, August 18, 2017",,,,,,0
Mumbai,"Saturday, August 19, 2017",,,,,,0
Mumbai,"Sunday, August 20, 2017",,,,,,0
Mumbai,"Monday, August 21, 2017",,,,,,0
Mumbai,"Tuesday, August 22, 2017",,,,,,0
Mumbai,"Wednesday, August 23, 2017",,,,,,0
Mumbai,"Thursday, August 24, 2017",,,,,,0
Mumbai,"Friday, August 25, 2017",,,,,,0
Mumbai,"Saturday, August 26, 2017",,,,,,0
Mumbai,"Sunday, August 27, 2017",,,,,,0
Mumbai,"Monday, August 28, 2017",,,,,,0
Mumbai,"Tuesday, August 29, 2017",,,,,,0
Mumbai,"Wednesday, August 30, 2017",,,,,,0
Mumbai,"Thursday, August 31, 2017",,,,,,0
Mumbai,"Friday, September 1, 2017",,,,,,0
Mumbai,"Saturday, September 2, 2017",,,,,,0
Mumbai,"Sunday, September 3, 2017",,,,,,0
Mumbai,"Monday, September 4, 2017",,,,,,0
Mumbai,"Tuesday, September 5, 2017",,,,,,0
Mumbai,"Wednesday, September 6, 2017",,,,,,0
Mumbai,"Thursday, September 7, 2017",,,,,,0
Mumbai,"Friday, September 8, 2017",,,,,,0
Mumbai,"Saturday, September 9, 2017",,,,,,0
Mumbai,"Sunday, September 10, 2017",,,,,,0
Mumbai,"Monday, September 11, 2017",,,,,,0
Mumbai,"Tuesday, September 12, 2017",,,,,,0
Mumbai,"Wednesday, September 13, 2017",,,,,,0
Mumbai,"Thursday, September 14, 2017",,,,,,0
Mumbai,"Friday, September 15, 2017",,,,,,0
Mumbai,"Saturday, September 16, 2017",,,,,,0
Mumbai,"Sunday, September 17, 2017",,,,,,0
Mumbai,"Monday, September 18, 2017",,,,,,0
Mumbai,"Tuesday, September 19, 2017",,,,,,0
Mumbai,"Wednesday, September 20, 2017",,,,,,0
